question_id,variation_id,variation_text,choice_id,choice_text
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",1,"Le ou la Sage"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",2,"Le Bon ou La Bonne"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",3,"Le Grand ou la Grande"
1,1,"Sous quel nom préférerais-tu entrer dans l'histoire ?",4,"L'Intrépide"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",1,"De personne banale"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",2,"D'ignare"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",3,"De trouillard(e)"
1,2,"De quoi détesterais-tu le plus qu'on te traite ?",4,"D'égoïste"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",1,"L'amour ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",2,"La gloire ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",3,"La sagesse ?"
1,3,"S'il te fallait faire un choix, préférerais-tu inventer une potion te garantissant :",4,"La pouvoir ?"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",1,"En se disant que tu leur manques, mais en gardant tout de même le sourire quand ils pensent à toi"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",2,"En se racontant inlassablement les récits de tes aventures"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",3,"En éprouvant de l'admiration quand ils pensent à tous tes exploits"
1,4,"De quelle manière préférerais-tu que les gens se souviennent de toi après ta mort ?",4,"Peu importe ce que les gens penseront de moi une fois que je serai mort(e), ce qui compte, c'est ce qu'ils pensent de moi tant que je suis vivant(e)"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",1,"L'odeur d'un feu de bois crépitant"
2,1,"Une fois tous les cent ans, la plante à Pipaillon produit des fleurs qui changent de parfum pour plaire à l'imprudent qu'elle souhaite attirer. Si cette plante souhaitait t'appâter, quelle odeur devrait-elle dégager ?",2,"L'odeur de la mer"
