question_id,variation_id,choice_id,house,weight
1,1,1,gryffondor,0
1,1,1,poufsouffle,0
1,1,1,serdaigle,1
1,1,1,serpentard,0
1,1,2,gryffondor,0
1,1,2,poufsouffle,1
1,1,2,serdaigle,0
1,1,2,serpentard,0
1,1,3,gryffondor,0
1,1,3,poufsouffle,0
1,1,3,serdaigle,0
1,1,3,serpentard,1
1,1,4,gryffondor,1
1,1,4,poufsouffle,0
1,1,4,serdaigle,0
1,1,4,serpentard,0
1,2,1,gryffondor,0
1,2,1,poufsouffle,0
1,2,1,serdaigle,0
1,2,1,serpentard,1
1,2,2,gryffondor,0
1,2,2,poufsouffle,0
1,2,2,serdaigle,1
1,2,2,serpentard,0
1,2,3,gryffondor,1
1,2,3,poufsouffle,0
1,2,3,serdaigle,0
1,2,3,serpentard,0
1,2,4,gryffondor,0
1,2,4,poufsouffle,1
1,2,4,serdaigle,0
1,2,4,serpentard,0
1,3,1,gryffondor,0
1,3,1,poufsouffle,1
1,3,1,serdaigle,0
1,3,1,serpentard,0
1,3,2,gryffondor,1
1,3,2,poufsouffle,0
1,3,2,serdaigle,0
1,3,2,serpentard,0
1,3,3,gryffondor,0
1,3,3,poufsouffle,0
1,3,3,serdaigle,1
1,3,3,serpentard,0
1,3,4,gryffondor,0
1,3,4,poufsouffle,0
1,3,4,serdaigle,0
1,3,4,serpentard,1
1,4,1,gryffondor,0
1,4,1,poufsouffle,1
1,4,1,serdaigle,0
1,4,1,serpentard,0
1,4,2,gryffondor,1
1,4,2,poufsouffle,0
1,4,2,serdaigle,0
1,4,2,serpentard,0
1,4,3,gryffondor,0
1,4,3,poufsouffle,0
1,4,3,serdaigle,1
1,4,3,serpentard,0
1,4,4,gryffondor,0
1,4,4,poufsouffle,0
1,4,4,serdaigle,0
1,4,4,serpentard,1
2,1,1,gryffondor,1
2,1,1,poufsouffle,0
2,1,1,serdaigle,0
2,1,1,serpentard,0
2,1,2,gryffondor,0
2,1,2,poufsouffle,0
2,1,2,serdaigle,0
2,1,2,serpentard,1
2,1,3,gryffondor,0
2,1,3,poufsouffle,0
2,1,3,serdaigle,1
2,1,3,serpentard,0
2,1,4,gryffondor,0
2,1,4,poufsouffle,1
2,1,4,serdaigle,0
2,1,4,serpentard,0
2,2,1,gryffondor,0
2,2,1,poufsouffle,1
2,2,1,serdaigle,0
2,2,1,serpentard,0
2,2,2,gryffondor,0
2,2,2,poufsouffle,0
2,2,2,serdaigle,0
2,2,2,serpentard,1
2,2,3,gryffondor,0
2,2,3,poufsouffle,0
2,2,3,serdaigle,1
2,2,3,serpentard,0
2,2,4,gryffondor,1
2,2,4,poufsouffle,0
2,2,4,serdaigle,0
2,2,4,serpentard,0
2,3,1,gryffondor,0
2,3,1,poufsouffle,0
2,3,1,serdaigle,0
2,3,1,serpentard,1
2,3,2,gryffondor,0
2,3,2,poufsouffle,1
2,3,2,serdaigle,0
2,3,2,serpentard,0
2,3,3,gryffondor,0
2,3,3,poufsouffle,0
2,3,3,serdaigle,1
2,3,3,serpentard,0
2,3,4,gryffondor,1
2,3,4,poufsouffle,0
2,3,4,serdaigle,0
2,3,4,serpentard,0
2,4,1,gryffondor,0
2,4,1,poufsouffle,0
2,4,1,serdaigle,1
2,4,1,serpentard,0
2,4,2,gryffondor,0
2,4,2,poufsouffle,1
2,4,2,serdaigle,0
2,4,2,serpentard,0
2,4,3,gryffondor,1
2,4,3,poufsouffle,0
2,4,3,serdaigle,0
2,4,3,serpentard,0
2,4,4,gryffondor,0
2,4,4,poufsouffle,0
2,4,4,serdaigle,0
2,4,4,serpentard,1
2,5,1,gryffondor,0
2,5,1,poufsouffle,0
2,5,1,serdaigle,1
2,5,1,serpentard,0
2,5,2,gryffondor,0
2,5,2,poufsouffle,1
2,5,2,serdaigle,0
2,5,2,serpentard,0
2,5,3,gryffondor,0
2,5,3,poufsouffle,0
2,5,3,serdaigle,0
2,5,3,serpentard,1
2,5,4,gryffondor,1
2,5,4,poufsouffle,0
2,5,4,serdaigle,0
2,5,4,serpentard,0
3,1,1,gryffondor,0
3,1,1,poufsouffle,0
3,1,1,serdaigle,.3
3,1,1,serpentard,.7
3,1,2,gryffondor,0
3,1,2,poufsouffle,0
3,1,2,serdaigle,.7
3,1,2,serpentard,.3
3,1,3,gryffondor,0
3,1,3,poufsouffle,.3
3,1,3,serdaigle,0
3,1,3,serpentard,.7
3,1,4,gryffondor,0
3,1,4,poufsouffle,.7
3,1,4,serdaigle,0
3,1,4,serpentard,.3
3,1,5,gryffondor,.7
3,1,5,poufsouffle,0
3,1,5,serdaigle,.3
3,1,5,serpentard,0
3,1,6,gryffondor,.3
3,1,6,poufsouffle,.7
3,1,6,serdaigle,0
3,1,6,serpentard,0
3,2,1,gryffondor,0
3,2,1,poufsouffle,0
3,2,1,serdaigle,.5
3,2,1,serpentard,.5
3,2,2,gryffondor,0
3,2,2,poufsouffle,0
3,2,2,serdaigle,1
3,2,2,serpentard,0
3,2,3,gryffondor,.5
3,2,3,poufsouffle,.5
3,2,3,serdaigle,0
3,2,3,serpentard,0
3,2,4,gryffondor,.7
3,2,4,poufsouffle,0
